t,ap,cp,v
1738596939,1246.85,1247.05,396609
1738597195,1246.85,1247.05,396609
1738597251,1246.85,1245.15,396660
1738597284,1246.85,1245.15,396660
1738597379,1246.85,1245.15,396660
1738597418,1246.85,1245.15,396660
1738597467,1246.85,1245.15,396662
1738597545,1246.85,1245.15,396664
1738597617,1246.85,1245.15,396665
1738597674,1246.85,1245.15,396665
1738597706,1246.85,1245.15,396670
1738597779,1246.85,1245.15,396670
1738597833,1246.85,1245.15,396674
1738597895,1246.85,1245.15,396674
1738597947,1246.85,1245.15,396674
1738598002,1246.85,1245.15,396674
1738598084,1246.85,1245.15,396674
1738598135,1246.85,1245.15,396687
1738598210,1246.85,1245.15,396687
1738598247,1246.85,1245.15,396687
1738598331,1246.85,1245.15,396687
1738598396,1246.85,1245.15,396687
1738598401,1246.85,1245.15,396687
1738598487,1246.85,1245.15,396687
t,ap,cp,v
1738573640,1250.00,1250.00,1768
1738573741,1250.00,1250.00,1768
1738574159,1248.64,1251.60,24164
1738574219,1248.91,1250.10,26834
1738574279,1249.06,1250.55,30231
1738574339,1249.06,1248.35,32030
1738574399,1248.96,1247.60,39658
1738574459,1249.00,1250.15,42353
1738574519,1249.02,1248.75,44269
1738574579,1249.00,1248.35,46131
1738574639,1248.83,1248.10,57111
1738574697,1248.81,1248.10,59255
1738574759,1248.89,1251.80,62774
1738574819,1248.97,1251.55,64390
1738574879,1249.00,1250.85,65706
1738574939,1249.03,1249.80,67058
1738574999,1249.07,1250.20,69227
1738575059,1249.12,1250.00,72695
1738575119,1249.13,1250.95,73457
1738575179,1249.14,1251.35,73886
1738575239,1249.21,1250.50,76824
1738575297,1249.22,1249.40,77586
1738575359,1249.22,1248.85,80513
1738575419,1249.23,1249.25,81489
1738575479,1249.12,1247.90,90838
1738575539,1249.07,1246.00,92428
1738575599,1249.03,1245.50,93795
1738575659,1248.98,1246.00,94992
1738575719,1248.89,1244.65,97357
1738575779,1248.79,1244.95,99630
1738575839,1248.72,1243.05,101134
1738575899,1248.45,1241.20,106232
1738575959,1248.35,1242.00,107800
1738576017,1248.22,1241.70,109996
1738576079,1248.17,1241.80,110739
1738576139,1248.11,1241.50,111741
1738576199,1247.72,1240.15,117480
1738576259,1247.50,1240.00,120823
1738576319,1247.43,1239.80,121884
1738576379,1247.39,1238.40,122448
1738576439,1247.33,1239.30,123226
1738576499,1247.13,1238.40,126172
1738576559,1247.03,1240.00,127798
1738576619,1246.98,1239.75,128696
1738576679,1246.84,1239.80,131114
1738576739,1246.80,1238.90,131789
1738576799,1246.65,1239.30,134369
1738576859,1246.62,1238.50,134923
1738576919,1246.35,1239.60,140577
1738576979,1246.32,1240.80,141333
1738577039,1246.26,1241.75,142757
1738577099,1246.21,1241.30,144200
1738577159,1246.17,1242.95,145488
1738577219,1246.13,1241.85,147282
1738577279,1246.10,1241.45,148134
1738577338,1246.08,1241.10,148928
1738577399,1246.06,1241.35,149363
1738577459,1246.04,1241.45,150008
1738577519,1246.01,1241.50,150829
1738577579,1245.97,1241.55,152076
1738577639,1245.95,1240.80,152610
1738577699,1245.92,1241.00,153592
1738577759,1245.88,1240.25,154681
1738577819,1245.78,1239.15,157239
1738577879,1245.73,1240.30,158424
1738577939,1245.71,1240.00,158995
1738577999,1245.69,1239.20,159619
1738578059,1245.64,1238.80,160728
1738578119,1245.61,1240.05,161752
1738578179,1245.60,1240.35,162074
1738578239,1245.56,1240.00,163227
1738578299,1245.55,1240.80,163514
1738578359,1245.54,1240.60,163939
1738578419,1245.52,1240.80,164473
1738578479,1245.52,1241.80,164702
1738578539,1245.39,1242.30,171030
1738578599,1245.37,1243.80,172012
1738578659,1245.36,1243.00,172954
1738578719,1245.35,1243.40,173835
1738578779,1245.34,1243.05,174707
1738578839,1245.33,1244.40,175054
1738578898,1245.33,1245.45,176396
1738578959,1245.34,1247.00,177032
1738579019,1245.39,1247.20,182553
1738579079,1245.40,1248.00,183123
1738579139,1245.43,1249.00,185095
1738579199,1245.44,1248.90,185749
1738579259,1245.57,1248.90,192490
1738579319,1245.58,1248.00,193229
1738579379,1245.60,1249.20,194559
1738579439,1245.63,1250.00,195764
1738579499,1245.64,1250.40,196403
1738579559,1245.65,1250.40,196878
1738579619,1245.69,1248.45,198872
1738579679,1245.71,1250.40,199753
1738579739,1245.72,1249.45,200271
1738579799,1245.73,1249.20,200672
1738579859,1245.74,1248.50,201433
1738579919,1245.75,1247.65,202675
1738579979,1245.78,1248.90,204783
1738580039,1245.79,1248.25,205476
1738580099,1245.80,1249.05,206649
1738580159,1245.81,1249.00,206965
1738580219,1245.81,1249.65,207130
1738580279,1245.82,1249.80,207558
1738580339,1245.83,1250.75,208414
1738580399,1245.84,1250.60,208587
1738580459,1245.85,1250.30,209268
1738580519,1245.87,1249.90,210141
1738580578,1245.87,1249.60,210427
1738580639,1245.88,1249.95,210501
1738580699,1245.90,1250.00,211860
1738580759,1245.90,1249.80,212012
1738580819,1245.93,1251.25,213240
1738580879,1245.95,1251.45,214115
1738580939,1245.96,1251.15,214273
1738580999,1245.97,1250.90,214635
1738581059,1245.98,1251.00,215316
1738581119,1246.00,1250.65,216169
1738581178,1246.03,1250.55,217652
1738581239,1246.04,1251.45,217982
1738581299,1246.12,1252.75,220777
1738581359,1246.17,1253.65,222521
1738581419,1246.18,1253.65,222779
1738581479,1246.21,1254.25,223452
1738581539,1246.39,1255.35,228153
1738581599,1246.42,1254.20,229172
1738581659,1246.43,1253.90,229300
1738581719,1246.44,1253.00,229839
1738581779,1246.45,1251.90,230186
1738581838,1246.46,1252.30,230436
1738581899,1246.46,1252.00,230668
1738581959,1246.48,1250.60,231314
1738582019,1246.48,1251.00,231621
1738582079,1246.51,1250.65,233663
1738582139,1246.56,1250.15,236200
1738582198,1246.56,1250.35,236475
1738582259,1246.57,1250.00,237347
1738582319,1246.64,1250.55,241908
1738582379,1246.66,1250.95,243352
1738582439,1246.67,1250.60,243911
1738582499,1246.68,1249.95,244234
1738582559,1246.71,1249.70,246929
1738582619,1246.74,1248.75,249991
1738582679,1246.75,1248.80,251340
1738582739,1246.78,1248.00,256077
1738582799,1246.78,1248.40,256308
1738582859,1246.78,1247.60,257419
1738582919,1246.78,1247.10,257969
1738582979,1246.79,1247.05,259144
1738583039,1246.79,1248.10,260540
1738583099,1246.80,1247.85,264327
1738583159,1246.80,1247.60,264473
1738583219,1246.80,1246.70,265251
1738583279,1246.80,1246.65,265393
1738583339,1246.80,1247.40,265628
1738583399,1246.81,1247.35,266670
1738583459,1246.81,1246.80,266721
1738583519,1246.81,1247.35,266971
1738583578,1246.81,1247.00,267512
1738583639,1246.81,1247.35,267830
1738583699,1246.81,1247.60,268470
1738583759,1246.81,1248.20,268543
1738583819,1246.81,1247.50,268744
1738583879,1246.81,1247.65,269050
1738583939,1246.81,1248.00,270105
1738583999,1246.81,1247.50,270487
1738584058,1246.81,1247.30,270599
1738584119,1246.82,1248.75,271845
1738584179,1246.82,1249.30,272343
1738584239,1246.84,1249.40,274021
1738584299,1246.84,1248.70,274052
1738584359,1246.84,1249.00,274321
1738584419,1246.84,1248.65,274503
1738584478,1246.84,1248.25,275152
1738584539,1246.85,1248.05,275702
1738584599,1246.85,1248.30,276058
1738584659,1246.85,1248.05,276288
1738584719,1246.85,1248.20,276360
1738584779,1246.85,1247.20,276533
1738584839,1246.85,1248.20,276937
1738584899,1246.85,1248.15,277205
1738584959,1246.85,1247.75,277513
1738585019,1246.86,1247.70,277804
1738585079,1246.86,1247.55,278109
1738585139,1246.86,1246.60,278441
1738585199,1246.86,1246.50,278984
1738585259,1246.85,1246.80,279511
1738585318,1246.85,1246.40,279670
1738585379,1246.85,1245.85,280301
1738585439,1246.85,1246.00,280940
1738585499,1246.85,1247.00,281472
1738585559,1246.85,1247.65,281643
1738585619,1246.85,1247.95,282134
1738585679,1246.85,1247.00,282455
1738585738,1246.85,1247.15,282657
1738585799,1246.85,1247.25,282906
1738585859,1246.85,1247.80,283447
1738585919,1246.86,1249.20,283772
1738585979,1246.86,1248.50,283917
1738586039,1246.86,1247.40,284980
1738586099,1246.86,1247.75,285097
1738586159,1246.87,1247.05,287650
1738586219,1246.87,1246.80,287756
1738586279,1246.87,1247.40,288000
1738586339,1246.87,1247.20,288092
1738586399,1246.87,1246.40,288602
1738586459,1246.87,1247.20,288750
1738586519,1246.87,1247.15,289211
1738586579,1246.87,1246.60,289264
1738586639,1246.87,1247.00,289682
1738586699,1246.87,1246.85,290185
1738586759,1246.87,1246.50,290745
1738586819,1246.87,1246.35,290844
1738586879,1246.87,1246.05,291115
1738586939,1246.87,1246.50,291221
1738586999,1246.86,1246.20,291469
1738587059,1246.86,1245.60,291649
1738587119,1246.86,1245.75,291833
1738587179,1246.86,1245.50,291976
1738587239,1246.86,1245.35,292341
1738587299,1246.86,1245.50,292624
1738587359,1246.86,1245.85,293452
1738587419,1246.85,1245.70,293789
1738587479,1246.85,1245.25,293863
1738587539,1246.85,1246.20,294607
1738587599,1246.85,1246.50,294718
1738587659,1246.85,1247.60,295101
1738587719,1246.85,1247.30,295304
1738587779,1246.85,1247.45,295993
1738587839,1246.86,1250.00,297165
1738587899,1246.89,1249.90,299494
1738587959,1246.89,1249.05,300160
1738588019,1246.89,1248.75,300402
1738588079,1246.90,1249.75,300631
1738588137,1246.90,1250.00,300842
1738588199,1246.90,1251.00,301335
1738588259,1246.93,1251.05,303111
1738588319,1246.93,1249.85,303346
1738588379,1246.93,1249.75,303492
1738588439,1246.94,1250.75,303940
1738588499,1246.94,1250.50,304031
1738588559,1246.94,1250.50,304161
1738588619,1246.94,1250.50,304196
1738588679,1246.94,1250.65,304699
1738588739,1246.95,1250.00,304717
1738588799,1246.95,1249.70,305020
1738588859,1246.95,1250.15,305163
1738588919,1246.95,1250.00,305346
1738588979,1246.95,1249.80,305442
1738589037,1246.95,1249.75,305575
1738589099,1246.96,1249.75,306742
1738589159,1246.97,1249.10,306933
1738589219,1246.97,1249.55,307166
1738589279,1246.97,1249.55,307500
1738589339,1246.97,1249.45,307754
1738589399,1246.97,1250.40,307857
1738589459,1246.98,1250.40,308121
1738589519,1246.98,1250.50,308144
1738589579,1246.98,1250.65,308380
1738589639,1246.98,1250.20,308744
1738589699,1246.98,1249.90,308851
1738589759,1246.99,1250.30,309390
1738589819,1246.99,1250.75,309618
1738589879,1247.00,1251.70,310535
1738589939,1247.01,1250.85,310928
1738589999,1247.01,1250.95,311067
1738590059,1247.02,1250.55,311960
1738590119,1247.02,1251.25,312004
1738590179,1247.02,1251.25,312167
1738590239,1247.03,1250.25,312419
1738590298,1247.03,1250.85,312631
1738590359,1247.05,1250.50,314087
1738590419,1247.05,1250.10,314387
1738590479,1247.05,1250.65,314466
1738590539,1247.05,1250.55,314627
1738590599,1247.05,1249.50,315065
1738590659,1247.06,1249.40,315708
1738590719,1247.06,1248.00,316978
1738590779,1247.06,1248.10,317317
1738590839,1247.07,1249.10,317808
1738590899,1247.07,1248.35,317939
1738590959,1247.07,1248.75,318363
1738591019,1247.07,1248.05,318462
1738591079,1247.07,1248.00,318848
1738591139,1247.07,1248.50,319154
1738591199,1247.07,1247.70,319280
1738591259,1247.07,1248.80,319587
1738591319,1247.09,1248.85,321391
1738591379,1247.09,1249.50,321524
1738591439,1247.09,1249.25,321816
1738591499,1247.09,1248.50,322021
1738591559,1247.09,1248.60,322738
1738591619,1247.10,1249.00,322856
1738591679,1247.10,1249.10,323178
1738591739,1247.10,1249.00,323462
1738591799,1247.10,1248.50,323669
1738591859,1247.10,1248.00,323828
1738591919,1247.10,1248.20,324026
1738591979,1247.11,1249.45,324878
1738592039,1247.11,1249.40,325646
1738592099,1247.11,1249.30,325713
1738592159,1247.12,1248.80,326685
1738592219,1247.12,1249.30,327116
1738592279,1247.12,1248.75,327501
1738592339,1247.12,1248.25,328053
1738592399,1247.13,1248.95,328181
1738592459,1247.13,1248.50,328455
1738592519,1247.13,1248.30,328634
1738592579,1247.13,1248.00,328844
1738592639,1247.13,1248.40,329018
1738592699,1247.13,1248.00,329036
1738592759,1247.13,1248.00,329263
1738592819,1247.13,1248.00,330661
1738592879,1247.13,1248.40,330716
1738592939,1247.14,1248.90,332404
1738592999,1247.14,1248.75,332598
1738593059,1247.14,1248.30,332986
1738593119,1247.14,1247.60,333268
1738593179,1247.14,1247.95,333545
1738593239,1247.14,1247.50,334637
1738593299,1247.14,1248.05,334979
1738593359,1247.14,1247.80,335231
1738593419,1247.14,1247.30,335684
1738593479,1247.15,1247.20,336144
1738593539,1247.15,1247.85,336568
1738593599,1247.15,1247.65,337705
1738593659,1247.15,1247.95,337894
1738593719,1247.15,1247.60,338772
1738593779,1247.15,1247.65,338964
1738593839,1247.15,1247.00,339489
1738593899,1247.15,1247.00,339632
1738593959,1247.15,1246.00,340264
1738594019,1247.15,1245.80,340794
1738594079,1247.12,1244.55,344761
1738594139,1247.12,1244.65,345303
1738594199,1247.11,1244.40,345716
1738594259,1247.10,1243.95,346806
1738594319,1247.10,1243.50,347641
1738594379,1247.09,1243.90,347817
1738594438,1247.09,1243.70,348192
1738594499,1247.09,1244.55,348343
1738594559,1247.09,1244.50,348520
1738594619,1247.09,1244.55,349035
1738594679,1247.08,1245.00,349591
1738594739,1247.08,1245.65,349850
1738594799,1247.08,1246.00,351105
1738594859,1247.07,1245.95,353017
1738594918,1247.07,1245.15,353355
1738594979,1247.07,1245.75,353797
1738595039,1247.06,1245.00,354458
1738595099,1247.06,1245.00,354819
1738595159,1247.06,1244.85,355055
1738595219,1247.06,1245.15,355277
1738595279,1247.06,1245.80,355637
1738595338,1247.06,1245.70,355760
1738595399,1247.06,1245.75,355842
1738595459,1247.05,1245.50,356312
1738595519,1247.05,1246.25,356792
1738595579,1247.05,1246.35,357115
1738595638,1247.05,1246.45,357378
1738595699,1247.05,1246.30,358032
1738595759,1246.90,1245.45,377515
1738595819,1246.90,1246.05,378093
1738595879,1246.90,1245.30,378656
1738595939,1246.89,1246.00,379286
1738595999,1246.89,1246.00,379801
1738596059,1246.89,1246.45,381388
1738596119,1246.89,1246.20,382033
1738596179,1246.88,1246.00,383480
1738596239,1246.85,1245.95,392228
1738596299,1246.85,1246.40,393354
1738596359,1246.85,1247.45,394004
1738596419,1246.85,1246.95,394443
1738596479,1246.85,1247.00,394699
1738596539,1246.85,1247.50,395688
1738596599,1246.85,1247.05,396609
1738596613,1246.85,1247.05,396609
1738596676,1246.85,1247.05,396609
1738596862,1246.85,1247.05,396609
1738596939,1246.85,1247.05,396609
1738597195,1246.85,1247.05,396609
1738597251,1246.85,1245.15,396660
1738597284,1246.85,1245.15,396660
1738597379,1246.85,1245.15,396660
1738597418,1246.85,1245.15,396660
1738597467,1246.85,1245.15,396662
1738597545,1246.85,1245.15,396664
1738597617,1246.85,1245.15,396665
1738597674,1246.85,1245.15,396665
1738597706,1246.85,1245.15,396670
1738597779,1246.85,1245.15,396670
1738597833,1246.85,1245.15,396674
1738597895,1246.85,1245.15,396674
1738597947,1246.85,1245.15,396674
1738598002,1246.85,1245.15,396674
1738598084,1246.85,1245.15,396674
1738598135,1246.85,1245.15,396687
1738598210,1246.85,1245.15,396687
1738598247,1246.85,1245.15,396687
1738598331,1246.85,1245.15,396687
1738598396,1246.85,1245.15,396687
1738598401,1246.85,1245.15,396687
1738598487,1246.85,1245.15,396687
1738573640,1250.00,1250.00,1768
1738573741,1250.00,1250.00,1768
1738574159,1248.64,1251.60,24164
1738574219,1248.91,1250.10,26834
1738574279,1249.06,1250.55,30231
1738574339,1249.06,1248.35,32030
1738574399,1248.96,1247.60,39658
1738574459,1249.00,1250.15,42353
1738574519,1249.02,1248.75,44269
1738574579,1249.00,1248.35,46131
1738574639,1248.83,1248.10,57111
1738574697,1248.81,1248.10,59255
1738574759,1248.89,1251.80,62774
1738574819,1248.97,1251.55,64390
1738574879,1249.00,1250.85,65706
1738574939,1249.03,1249.80,67058
1738574999,1249.07,1250.20,69227
1738575059,1249.12,1250.00,72695
1738575119,1249.13,1250.95,73457
1738575179,1249.14,1251.35,73886
1738575239,1249.21,1250.50,76824
1738575297,1249.22,1249.40,77586
1738575359,1249.22,1248.85,80513
1738575419,1249.23,1249.25,81489
1738575479,1249.12,1247.90,90838
1738575539,1249.07,1246.00,92428
1738575599,1249.03,1245.50,93795
1738575659,1248.98,1246.00,94992
1738575719,1248.89,1244.65,97357
1738575779,1248.79,1244.95,99630
1738575839,1248.72,1243.05,101134
1738575899,1248.45,1241.20,106232
1738575959,1248.35,1242.00,107800
1738576017,1248.22,1241.70,109996
1738576079,1248.17,1241.80,110739
1738576139,1248.11,1241.50,111741
1738576199,1247.72,1240.15,117480
1738576259,1247.50,1240.00,120823
1738576319,1247.43,1239.80,121884
1738576379,1247.39,1238.40,122448
1738576439,1247.33,1239.30,123226
1738576499,1247.13,1238.40,126172
1738576559,1247.03,1240.00,127798
1738576619,1246.98,1239.75,128696
1738576679,1246.84,1239.80,131114
1738576739,1246.80,1238.90,131789
1738576799,1246.65,1239.30,134369
1738576859,1246.62,1238.50,134923
1738576919,1246.35,1239.60,140577
1738576979,1246.32,1240.80,141333
1738577039,1246.26,1241.75,142757
1738577099,1246.21,1241.30,144200
1738577159,1246.17,1242.95,145488
1738577219,1246.13,1241.85,147282
1738577279,1246.10,1241.45,148134
1738577338,1246.08,1241.10,148928
1738577399,1246.06,1241.35,149363
1738577459,1246.04,1241.45,150008
1738577519,1246.01,1241.50,150829
1738577579,1245.97,1241.55,152076
1738577639,1245.95,1240.80,152610
1738577699,1245.92,1241.00,153592
1738577759,1245.88,1240.25,154681
1738577819,1245.78,1239.15,157239
1738577879,1245.73,1240.30,158424
1738577939,1245.71,1240.00,158995
1738577999,1245.69,1239.20,159619
1738578059,1245.64,1238.80,160728
1738578119,1245.61,1240.05,161752
1738578179,1245.60,1240.35,162074
1738578239,1245.56,1240.00,163227
1738578299,1245.55,1240.80,163514
1738578359,1245.54,1240.60,163939
1738578419,1245.52,1240.80,164473
1738578479,1245.52,1241.80,164702
1738578539,1245.39,1242.30,171030
1738578599,1245.37,1243.80,172012
1738578659,1245.36,1243.00,172954
1738578719,1245.35,1243.40,173835
1738578779,1245.34,1243.05,174707
1738578839,1245.33,1244.40,175054
1738578898,1245.33,1245.45,176396
1738578959,1245.34,1247.00,177032
1738579019,1245.39,1247.20,182553
1738579079,1245.40,1248.00,183123
1738579139,1245.43,1249.00,185095
1738579199,1245.44,1248.90,185749
1738579259,1245.57,1248.90,192490
1738579319,1245.58,1248.00,193229
1738579379,1245.60,1249.20,194559
1738579439,1245.63,1250.00,195764
1738579499,1245.64,1250.40,196403
1738579559,1245.65,1250.40,196878
1738579619,1245.69,1248.45,198872
1738579679,1245.71,1250.40,199753
1738579739,1245.72,1249.45,200271
1738579799,1245.73,1249.20,200672
1738579859,1245.74,1248.50,201433
1738579919,1245.75,1247.65,202675
1738579979,1245.78,1248.90,204783
1738580039,1245.79,1248.25,205476
1738580099,1245.80,1249.05,206649
1738580159,1245.81,1249.00,206965
1738580219,1245.81,1249.65,207130
1738580279,1245.82,1249.80,207558
1738580339,1245.83,1250.75,208414
1738580399,1245.84,1250.60,208587
1738580459,1245.85,1250.30,209268
1738580519,1245.87,1249.90,210141
1738580578,1245.87,1249.60,210427
1738580639,1245.88,1249.95,210501
1738580699,1245.90,1250.00,211860
1738580759,1245.90,1249.80,212012
1738580819,1245.93,1251.25,213240
1738580879,1245.95,1251.45,214115
1738580939,1245.96,1251.15,214273
1738580999,1245.97,1250.90,214635
1738581059,1245.98,1251.00,215316
1738581119,1246.00,1250.65,216169
1738581178,1246.03,1250.55,217652
1738581239,1246.04,1251.45,217982
1738581299,1246.12,1252.75,220777
1738581359,1246.17,1253.65,222521
1738581419,1246.18,1253.65,222779
1738581479,1246.21,1254.25,223452
1738581539,1246.39,1255.35,228153
1738581599,1246.42,1254.20,229172
1738581659,1246.43,1253.90,229300
1738581719,1246.44,1253.00,229839
1738581779,1246.45,1251.90,230186
1738581838,1246.46,1252.30,230436
1738581899,1246.46,1252.00,230668
1738581959,1246.48,1250.60,231314
1738582019,1246.48,1251.00,231621
1738582079,1246.51,1250.65,233663
1738582139,1246.56,1250.15,236200
1738582198,1246.56,1250.35,236475
1738582259,1246.57,1250.00,237347
1738582319,1246.64,1250.55,241908
1738582379,1246.66,1250.95,243352
1738582439,1246.67,1250.60,243911
1738582499,1246.68,1249.95,244234
1738582559,1246.71,1249.70,246929
1738582619,1246.74,1248.75,249991
1738582679,1246.75,1248.80,251340
1738582739,1246.78,1248.00,256077
1738582799,1246.78,1248.40,256308
1738582859,1246.78,1247.60,257419
1738582919,1246.78,1247.10,257969
1738582979,1246.79,1247.05,259144
1738583039,1246.79,1248.10,260540
1738583099,1246.80,1247.85,264327
1738583159,1246.80,1247.60,264473
1738583219,1246.80,1246.70,265251
1738583279,1246.80,1246.65,265393
1738583339,1246.80,1247.40,265628
1738583399,1246.81,1247.35,266670
1738583459,1246.81,1246.80,266721
1738583519,1246.81,1247.35,266971
1738583578,1246.81,1247.00,267512
1738583639,1246.81,1247.35,267830
1738583699,1246.81,1247.60,268470
1738583759,1246.81,1248.20,268543
1738583819,1246.81,1247.50,268744
1738583879,1246.81,1247.65,269050
1738583939,1246.81,1248.00,270105
1738583999,1246.81,1247.50,270487
1738584058,1246.81,1247.30,270599
1738584119,1246.82,1248.75,271845
1738584179,1246.82,1249.30,272343
1738584239,1246.84,1249.40,274021
1738584299,1246.84,1248.70,274052
1738584359,1246.84,1249.00,274321
1738584419,1246.84,1248.65,274503
1738584478,1246.84,1248.25,275152
1738584539,1246.85,1248.05,275702
1738584599,1246.85,1248.30,276058
1738584659,1246.85,1248.05,276288
1738584719,1246.85,1248.20,276360
1738584779,1246.85,1247.20,276533
1738584839,1246.85,1248.20,276937
1738584899,1246.85,1248.15,277205
1738584959,1246.85,1247.75,277513
1738585019,1246.86,1247.70,277804
1738585079,1246.86,1247.55,278109
1738585139,1246.86,1246.60,278441
1738585199,1246.86,1246.50,278984
1738585259,1246.85,1246.80,279511
1738585318,1246.85,1246.40,279670
1738585379,1246.85,1245.85,280301
1738585439,1246.85,1246.00,280940
1738585499,1246.85,1247.00,281472
1738585559,1246.85,1247.65,281643
1738585619,1246.85,1247.95,282134
1738585679,1246.85,1247.00,282455
1738585738,1246.85,1247.15,282657
1738585799,1246.85,1247.25,282906
1738585859,1246.85,1247.80,283447
1738585919,1246.86,1249.20,283772
1738585979,1246.86,1248.50,283917
1738586039,1246.86,1247.40,284980
1738586099,1246.86,1247.75,285097
1738586159,1246.87,1247.05,287650
1738586219,1246.87,1246.80,287756
1738586279,1246.87,1247.40,288000
1738586339,1246.87,1247.20,288092
1738586399,1246.87,1246.40,288602
1738586459,1246.87,1247.20,288750
1738586519,1246.87,1247.15,289211
1738586579,1246.87,1246.60,289264
1738586639,1246.87,1247.00,289682
1738586699,1246.87,1246.85,290185
1738586759,1246.87,1246.50,290745
1738586819,1246.87,1246.35,290844
1738586879,1246.87,1246.05,291115
1738586939,1246.87,1246.50,291221
1738586999,1246.86,1246.20,291469
1738587059,1246.86,1245.60,291649
1738587119,1246.86,1245.75,291833
1738587179,1246.86,1245.50,291976
1738587239,1246.86,1245.35,292341
1738587299,1246.86,1245.50,292624
1738587359,1246.86,1245.85,293452
1738587419,1246.85,1245.70,293789
1738587479,1246.85,1245.25,293863
1738587539,1246.85,1246.20,294607
1738587599,1246.85,1246.50,294718
1738587659,1246.85,1247.60,295101
1738587719,1246.85,1247.30,295304
1738587779,1246.85,1247.45,295993
1738587839,1246.86,1250.00,297165
1738587899,1246.89,1249.90,299494
1738587959,1246.89,1249.05,300160
1738588019,1246.89,1248.75,300402
1738588079,1246.90,1249.75,300631
1738588137,1246.90,1250.00,300842
1738588199,1246.90,1251.00,301335
1738588259,1246.93,1251.05,303111
1738588319,1246.93,1249.85,303346
1738588379,1246.93,1249.75,303492
1738588439,1246.94,1250.75,303940
1738588499,1246.94,1250.50,304031
1738588559,1246.94,1250.50,304161
1738588619,1246.94,1250.50,304196
1738588679,1246.94,1250.65,304699
1738588739,1246.95,1250.00,304717
1738588799,1246.95,1249.70,305020
1738588859,1246.95,1250.15,305163
1738588919,1246.95,1250.00,305346
1738588979,1246.95,1249.80,305442
1738589037,1246.95,1249.75,305575
1738589099,1246.96,1249.75,306742
1738589159,1246.97,1249.10,306933
1738589219,1246.97,1249.55,307166
1738589279,1246.97,1249.55,307500
1738589339,1246.97,1249.45,307754
1738589399,1246.97,1250.40,307857
1738589459,1246.98,1250.40,308121
1738589519,1246.98,1250.50,308144
1738589579,1246.98,1250.65,308380
1738589639,1246.98,1250.20,308744
1738589699,1246.98,1249.90,308851
1738589759,1246.99,1250.30,309390
1738589819,1246.99,1250.75,309618
1738589879,1247.00,1251.70,310535
1738589939,1247.01,1250.85,310928
1738589999,1247.01,1250.95,311067
1738590059,1247.02,1250.55,311960
1738590119,1247.02,1251.25,312004
1738590179,1247.02,1251.25,312167
1738590239,1247.03,1250.25,312419
1738590298,1247.03,1250.85,312631
1738590359,1247.05,1250.50,314087
1738590419,1247.05,1250.10,314387
1738590479,1247.05,1250.65,314466
1738590539,1247.05,1250.55,314627
1738590599,1247.05,1249.50,315065
1738590659,1247.06,1249.40,315708
1738590719,1247.06,1248.00,316978
1738590779,1247.06,1248.10,317317
1738590839,1247.07,1249.10,317808
1738590899,1247.07,1248.35,317939
1738590959,1247.07,1248.75,318363
1738591019,1247.07,1248.05,318462
1738591079,1247.07,1248.00,318848
1738591139,1247.07,1248.50,319154
1738591199,1247.07,1247.70,319280
1738591259,1247.07,1248.80,319587
1738591319,1247.09,1248.85,321391
1738591379,1247.09,1249.50,321524
1738591439,1247.09,1249.25,321816
1738591499,1247.09,1248.50,322021
1738591559,1247.09,1248.60,322738
1738591619,1247.10,1249.00,322856
1738591679,1247.10,1249.10,323178
1738591739,1247.10,1249.00,323462
1738591799,1247.10,1248.50,323669
1738591859,1247.10,1248.00,323828
1738591919,1247.10,1248.20,324026
1738591979,1247.11,1249.45,324878
1738592039,1247.11,1249.40,325646
1738592099,1247.11,1249.30,325713
1738592159,1247.12,1248.80,326685
1738592219,1247.12,1249.30,327116
1738592279,1247.12,1248.75,327501
1738592339,1247.12,1248.25,328053
1738592399,1247.13,1248.95,328181
1738592459,1247.13,1248.50,328455
1738592519,1247.13,1248.30,328634
1738592579,1247.13,1248.00,328844
1738592639,1247.13,1248.40,329018
1738592699,1247.13,1248.00,329036
1738592759,1247.13,1248.00,329263
1738592819,1247.13,1248.00,330661
1738592879,1247.13,1248.40,330716
1738592939,1247.14,1248.90,332404
1738592999,1247.14,1248.75,332598
1738593059,1247.14,1248.30,332986
1738593119,1247.14,1247.60,333268
1738593179,1247.14,1247.95,333545
1738593239,1247.14,1247.50,334637
1738593299,1247.14,1248.05,334979
1738593359,1247.14,1247.80,335231
1738593419,1247.14,1247.30,335684
1738593479,1247.15,1247.20,336144
1738593539,1247.15,1247.85,336568
1738593599,1247.15,1247.65,337705
1738593659,1247.15,1247.95,337894
1738593719,1247.15,1247.60,338772
1738593779,1247.15,1247.65,338964
1738593839,1247.15,1247.00,339489
1738593899,1247.15,1247.00,339632
1738593959,1247.15,1246.00,340264
1738594019,1247.15,1245.80,340794
1738594079,1247.12,1244.55,344761
1738594139,1247.12,1244.65,345303
1738594199,1247.11,1244.40,345716
1738594259,1247.10,1243.95,346806
1738594319,1247.10,1243.50,347641
1738594379,1247.09,1243.90,347817
1738594438,1247.09,1243.70,348192
1738594499,1247.09,1244.55,348343
1738594559,1247.09,1244.50,348520
1738594619,1247.09,1244.55,349035
1738594679,1247.08,1245.00,349591
1738594739,1247.08,1245.65,349850
1738594799,1247.08,1246.00,351105
1738594859,1247.07,1245.95,353017
