t,ap,cp,v
1738588284,2640.12,2666.00,7088
1738588376,2640.12,2668.85,7089
1738588426,2640.12,2668.85,7089
1738588493,2640.19,2665.00,7109
1738588531,2640.19,2665.00,7109
1738588584,2640.19,2665.00,7109
1738588655,2640.19,2665.00,7109
1738588737,2640.30,2668.00,7136
1738588775,2640.42,2669.00,7168
1738588838,2640.42,2669.00,7168
1738588867,2640.42,2669.00,7168
1738588946,2640.46,2667.00,7178
1738589015,2640.67,2667.00,7237
1738589076,2640.67,2667.00,7237
1738589151,2640.85,2667.05,7284
1738589217,2640.97,2669.00,7318
1738589238,2640.97,2669.00,7318
1738589320,2640.97,2669.00,7318
1738589388,2640.97,2669.00,7318
1738589440,2641.01,2665.05,7328
1738589514,2641.02,2668.95,7332
1738589639,2641.02,2668.95,7332
1738589647,2641.02,2668.95,7332
1738589749,2641.04,2668.95,7337
1738589801,2641.04,2668.95,7337
1738589862,2641.04,2667.95,7338
1738589990,2641.26,2663.00,7413
1738590214,2641.26,2663.00,7413
1738590299,2641.26,2663.00,7413
1738590354,2641.28,2663.00,7418
1738590400,2641.33,2667.95,7434
1738590533,2641.33,2667.95,7434
1738590561,2641.33,2667.95,7434
1738590620,2641.33,2667.95,7434
1738590679,2641.33,2667.95,7434
1738590855,2641.34,2666.95,7437
1738590953,2641.34,2666.95,7437
1738591007,2641.34,2666.95,7437
1738591062,2641.36,2663.05,7442
1738591198,2641.39,2664.90,7454
1738591216,2641.53,2663.00,7504
1738591262,2641.55,2663.00,7511
1738591366,2641.59,2664.90,7521
1738591436,2641.61,2663.00,7531
1738591457,2641.61,2663.00,7531
1738591617,2641.63,2664.95,7536
1738591738,2641.90,2662.00,7636
1738591780,2641.95,2662.00,7656
1738591858,2642.31,2661.00,7797
1738591906,2642.33,2655.00,7806
1738591952,2642.33,2655.00,7806
1738592013,2643.64,2675.05,8183
1738592094,2643.64,2675.05,8184
1738592153,2643.66,2679.00,8188
1738592215,2643.68,2677.90,8193
1738592263,2643.79,2675.00,8221
1738592294,2643.79,2675.00,8221
1738592372,2643.79,2675.00,8221
1738592456,2643.93,2675.00,8259
1738592475,2643.97,2675.00,8269
1738592577,2644.00,2675.00,8279
1738592680,2644.02,2678.45,8283
1738592704,2644.02,2678.45,8283
1738592799,2644.02,2678.45,8283
1738592874,2644.06,2678.10,8293
1738592919,2644.06,2678.10,8293
1738592987,2644.11,2675.00,8305
1738593050,2644.11,2675.00,8307
1738593060,2644.12,2675.00,8309
1738593172,2644.12,2675.00,8309
1738593236,2644.12,2675.00,8309
1738593299,2644.13,2673.95,8311
1738593354,2644.15,2652.70,8323
1738593419,2644.21,2669.85,8348
1738593479,2644.21,2669.85,8348
1738593538,2644.27,2673.00,8368
1738593592,2644.27,2673.00,8368
1738593656,2644.34,2660.00,8396
1738593683,2644.34,2660.00,8396
1738593779,2644.37,2663.45,8412
1738593825,2644.37,2663.45,8412
1738593863,2644.37,2654.55,8414
1738593956,2644.37,2654.55,8414
1738594009,2644.37,2654.55,8414
1738594079,2644.37,2654.55,8414
1738594138,2644.53,2664.95,8476
1738594198,2644.54,2654.65,8481
1738594228,2644.55,2664.95,8488
1738594278,2644.55,2664.95,8488
1738594354,2644.55,2664.95,8488
1738594435,2644.57,2665.00,8493
1738594463,2644.57,2665.00,8493
1738594559,2644.57,2665.00,8493
1738594616,2644.60,2655.05,8506
1738594677,2644.60,2655.05,8506
1738594688,2644.60,2655.05,8506
1738594790,2644.60,2655.05,8506
1738594843,2644.60,2664.85,8509
1738594901,2644.60,2664.85,8509
1738594967,2644.60,2664.85,8509
1738595031,2644.60,2664.85,8509
1738595159,2644.60,2664.85,8509
1738595209,2644.62,2662.05,8517
1738595369,2644.62,2662.05,8517
1738595548,2644.62,2662.05,8517
1738595638,2644.62,2662.05,8517
1738595693,2644.62,2662.05,8517
1738595744,2644.63,2660.05,8522
1738595787,2644.69,2660.15,8557
1738595866,2644.73,2665.00,8573
1738595937,2644.74,2665.00,8576
1738595975,2644.74,2664.95,8577
1738596043,2644.74,2664.95,8577
1738596167,2645.23,2669.00,8755
1738596193,2645.23,2669.00,8755
1738596297,2645.67,2669.00,8919
1738596348,2645.93,2664.00,9021
1738596419,2645.94,2666.95,9023
1738596476,2646.14,2669.95,9104
1738596536,2646.16,2674.95,9110
1738596559,2646.28,2670.00,9151
1738596619,2646.28,2670.00,9151
1738596677,2646.28,2670.00,9151
1738597014,2646.28,2670.00,9151
1738597066,2646.28,2670.00,9151
1738597253,2646.28,2670.00,9151
1738597339,2646.28,2670.00,9151
1738598401,2646.28,2670.00,9151
1738598489,2646.28,2670.00,9151
t,ap,cp,v
1738573646,2645.35,2645.35,1
1738573740,2645.35,2645.35,1
1738574147,2614.39,2602.00,7
1738574210,2603.84,2602.00,47
1738574276,2603.78,2601.00,48
1738574327,2603.78,2601.00,48
1738574395,2622.68,2630.00,148
1738574436,2622.68,2630.00,148
1738574519,2622.68,2630.00,148
1738574566,2622.68,2630.00,148
1738574626,2622.68,2630.00,148
1738574695,2622.72,2629.70,149
1738574748,2624.38,2607.05,200
1738574819,2627.17,2630.00,400
1738574878,2628.30,2633.50,557
1738574939,2629.54,2633.50,732
1738574998,2629.59,2633.50,741
1738575056,2629.88,2640.00,781
1738575117,2629.89,2625.20,784
1738575173,2630.79,2640.00,861
1738575212,2630.79,2640.00,861
1738575277,2630.82,2639.90,863
1738575354,2633.63,2631.10,1093
1738575400,2633.63,2631.10,1093
1738575445,2633.62,2631.30,1097
1738575534,2633.62,2631.30,1098
1738575598,2633.61,2631.30,1100
1738575636,2633.61,2631.30,1101
1738575709,2633.61,2631.30,1101
1738575761,2633.65,2647.00,1104
1738575835,2633.68,2645.95,1107
1738575898,2635.77,2640.00,1314
1738575959,2636.26,2660.00,1372
1738576001,2636.26,2660.00,1372
1738576077,2636.39,2647.00,1383
1738576135,2636.54,2659.95,1392
1738576192,2637.27,2647.00,1492
1738576226,2637.60,2650.00,1520
1738576261,2637.60,2650.00,1520
1738576378,2637.60,2650.00,1520
1738576416,2638.33,2650.00,1615
1738576491,2638.35,2657.80,1617
1738576557,2638.35,2657.80,1617
1738576619,2638.40,2647.60,1626
1738576677,2638.52,2654.75,1640
1738576726,2638.75,2648.00,1681
1738576778,2638.76,2648.00,1682
1738576912,2638.85,2654.75,1692
1738576954,2638.91,2648.00,1702
1738577016,2638.97,2648.00,1714
1738577138,2638.98,2648.00,1715
1738577207,2638.98,2648.00,1716
1738577266,2639.00,2648.00,1720
1738577331,2639.11,2648.00,1740
1738577370,2639.14,2648.00,1746
1738577438,2639.14,2648.00,1747
1738577570,2640.22,2651.00,1922
1738577587,2640.23,2651.00,1923
1738577695,2640.47,2650.00,1971
1738577706,2640.47,2650.00,1971
1738577804,2640.53,2646.00,1990
1738577862,2640.53,2646.00,1990
1738577912,2640.53,2646.00,1990
1738577978,2640.53,2646.00,1990
1738578024,2640.53,2646.00,1990
1738578110,2640.53,2646.00,1990
1738578141,2640.54,2647.00,1993
1738578206,2640.54,2651.00,1994
1738578288,2640.54,2651.00,1994
1738578348,2640.54,2651.00,1994
1738578419,2640.93,2640.00,2197
1738578447,2640.93,2640.00,2204
1738578499,2640.93,2640.00,2204
1738578546,2640.92,2640.00,2224
1738578659,2640.92,2640.00,2224
1738578700,2640.92,2640.00,2224
1738578781,2640.92,2640.00,2224
1738578882,2640.92,2640.20,2229
1738579003,2641.00,2649.80,2252
1738579056,2641.00,2641.55,2255
1738579113,2641.00,2641.55,2255
1738579158,2641.00,2641.55,2255
1738579250,2641.02,2649.80,2261
1738579317,2641.18,2651.00,2300
1738579379,2641.53,2643.00,2409
1738579437,2641.29,2635.00,2613
1738579495,2641.29,2635.00,2613
1738579559,2641.30,2643.95,2618
1738579600,2641.30,2643.75,2619
1738579675,2641.29,2635.10,2624
1738579716,2641.29,2635.10,2624
1738579784,2641.29,2635.10,2624
1738579846,2641.29,2635.10,2624
1738579919,2639.72,2630.10,3177
1738579979,2638.51,2624.95,3555
1738580039,2633.43,2624.95,4523
1738580098,2633.43,2619.95,4524
1738580159,2633.42,2619.95,4526
1738580215,2633.39,2629.95,4537
1738580279,2633.38,2635.00,4615
1738580339,2633.38,2635.00,4615
1738580399,2633.37,2627.85,4639
1738580443,2633.37,2627.85,4639
1738580490,2633.37,2627.85,4639
1738580556,2633.37,2627.85,4639
1738580623,2633.37,2627.85,4639
1738580683,2633.36,2628.00,4653
1738580753,2633.37,2639.95,4663
1738580867,2633.37,2639.95,4663
1738580914,2633.38,2639.85,4667
1738580957,2633.38,2639.85,4672
1738581095,2633.38,2639.85,4672
1738581175,2633.38,2639.85,4672
1738581237,2633.38,2639.85,4672
1738581359,2633.37,2628.00,4683
1738581377,2633.37,2628.00,4683
1738581459,2633.37,2628.00,4683
1738581512,2633.37,2628.00,4683
1738581778,2633.37,2628.00,4683
1738581874,2633.37,2628.00,4683
1738581936,2633.37,2628.00,4683
1738581991,2633.37,2632.85,4692
1738582299,2633.37,2632.85,4696
1738582439,2633.36,2633.00,4796
1738582470,2633.36,2633.00,4796
1738582544,2633.36,2633.00,4796
1738582612,2633.36,2643.85,4797
1738582672,2633.36,2643.85,4797
1738582681,2633.36,2643.85,4797
1738582776,2633.36,2625.10,4798
1738582849,2633.36,2625.10,4798
1738582900,2633.36,2625.10,4798
1738582949,2633.36,2625.10,4798
1738582999,2633.36,2625.10,4798
1738583140,2633.36,2628.05,4800
1738583188,2633.36,2628.05,4800
1738583275,2633.35,2630.00,4808
1738583333,2633.35,2632.95,4816
1738583392,2633.35,2632.95,4816
1738583451,2633.35,2632.95,4816
1738583552,2633.35,2632.95,4816
1738583683,2633.35,2632.95,4816
1738583757,2633.35,2632.95,4816
1738583776,2633.33,2628.10,4831
1738583857,2633.33,2628.10,4832
1738583976,2633.15,2625.00,4942
1738584177,2633.15,2625.00,4942
1738584231,2633.15,2625.00,4942
1738584294,2633.15,2625.00,4942
1738584320,2633.15,2625.00,4942
1738584433,2633.10,2630.00,5022
1738584620,2633.10,2630.00,5022
1738584719,2633.10,2630.00,5022
1738584834,2633.06,2632.00,5093
1738584871,2633.16,2638.00,5198
1738584951,2633.19,2642.50,5213
1738585016,2634.45,2652.00,5643
1738585055,2634.45,2652.00,5643
1738585127,2634.45,2652.00,5643
1738585232,2634.45,2652.00,5643
1738585438,2634.45,2643.20,5644
1738585476,2634.45,2643.20,5644
1738585609,2634.45,2643.20,5644
1738585679,2634.45,2643.20,5644
1738585732,2636.00,2660.00,6082
1738585797,2636.25,2650.05,6139
1738585843,2636.25,2650.05,6139
1738585913,2636.26,2650.25,6140
1738585936,2636.26,2650.25,6140
1738586029,2636.77,2650.30,6251
1738586078,2636.77,2650.30,6251
1738586153,2636.77,2650.35,6252
1738586172,2636.77,2650.35,6252
1738586256,2636.77,2650.35,6252
1738586281,2636.77,2650.35,6252
1738586347,2636.77,2650.35,6252
1738586449,2636.77,2650.35,6252
1738586518,2636.86,2650.40,6278
1738586569,2636.86,2650.40,6278
1738586639,2636.93,2651.05,6306
1738586697,2636.98,2651.35,6320
1738586757,2636.98,2651.35,6320
1738586805,2636.98,2651.35,6321
1738586821,2636.98,2651.35,6321
1738586937,2636.98,2651.45,6323
1738586987,2637.11,2662.00,6357
1738587058,2637.19,2666.00,6376
1738587112,2637.19,2666.00,6377
1738587178,2637.30,2666.00,6401
1738587227,2637.30,2666.00,6401
1738587272,2637.30,2666.00,6401
1738587351,2637.30,2666.00,6401
1738587398,2637.30,2662.05,6402
1738587479,2637.84,2663.00,6544
1738587521,2637.91,2665.75,6560
1738587575,2637.91,2665.75,6560
1738587624,2637.91,2665.75,6560
1738587715,2637.93,2662.05,6565
1738587777,2638.37,2665.00,6688
1738587818,2639.11,2670.00,6853
1738587872,2639.51,2670.00,6943
1738587912,2639.51,2670.00,6943
1738588075,2640.10,2670.00,7083
1738588123,2640.10,2670.00,7083
1738588234,2640.12,2666.00,7088
1738588284,2640.12,2666.00,7088
1738588376,2640.12,2668.85,7089
1738588426,2640.12,2668.85,7089
1738588493,2640.19,2665.00,7109
1738588531,2640.19,2665.00,7109
1738588584,2640.19,2665.00,7109
1738588655,2640.19,2665.00,7109
1738588737,2640.30,2668.00,7136
1738588775,2640.42,2669.00,7168
1738588838,2640.42,2669.00,7168
1738588867,2640.42,2669.00,7168
1738588946,2640.46,2667.00,7178
1738589015,2640.67,2667.00,7237
1738589076,2640.67,2667.00,7237
1738589151,2640.85,2667.05,7284
1738589217,2640.97,2669.00,7318
1738589238,2640.97,2669.00,7318
1738589320,2640.97,2669.00,7318
1738589388,2640.97,2669.00,7318
1738589440,2641.01,2665.05,7328
1738589514,2641.02,2668.95,7332
1738589639,2641.02,2668.95,7332
1738589647,2641.02,2668.95,7332
1738589749,2641.04,2668.95,7337
1738589801,2641.04,2668.95,7337
1738589862,2641.04,2667.95,7338
1738589990,2641.26,2663.00,7413
1738590214,2641.26,2663.00,7413
1738590299,2641.26,2663.00,7413
1738590354,2641.28,2663.00,7418
1738590400,2641.33,2667.95,7434
1738590533,2641.33,2667.95,7434
1738590561,2641.33,2667.95,7434
1738590620,2641.33,2667.95,7434
1738590679,2641.33,2667.95,7434
1738590855,2641.34,2666.95,7437
1738590953,2641.34,2666.95,7437
1738591007,2641.34,2666.95,7437
1738591062,2641.36,2663.05,7442
1738591198,2641.39,2664.90,7454
1738591216,2641.53,2663.00,7504
1738591262,2641.55,2663.00,7511
1738591366,2641.59,2664.90,7521
1738591436,2641.61,2663.00,7531
1738591457,2641.61,2663.00,7531
1738591617,2641.63,2664.95,7536
1738591738,2641.90,2662.00,7636
1738591780,2641.95,2662.00,7656
1738591858,2642.31,2661.00,7797
1738591906,2642.33,2655.00,7806
1738591952,2642.33,2655.00,7806
1738592013,2643.64,2675.05,8183
1738592094,2643.64,2675.05,8184
1738592153,2643.66,2679.00,8188
1738592215,2643.68,2677.90,8193
1738592263,2643.79,2675.00,8221
1738592294,2643.79,2675.00,8221
1738592372,2643.79,2675.00,8221
1738592456,2643.93,2675.00,8259
1738592475,2643.97,2675.00,8269
1738592577,2644.00,2675.00,8279
1738592680,2644.02,2678.45,8283
1738592704,2644.02,2678.45,8283
1738592799,2644.02,2678.45,8283
1738592874,2644.06,2678.10,8293
1738592919,2644.06,2678.10,8293
1738592987,2644.11,2675.00,8305
1738593050,2644.11,2675.00,8307
1738593060,2644.12,2675.00,8309
1738593172,2644.12,2675.00,8309
1738593236,2644.12,2675.00,8309
1738593299,2644.13,2673.95,8311
1738593354,2644.15,2652.70,8323
1738593419,2644.21,2669.85,8348
1738593479,2644.21,2669.85,8348
1738593538,2644.27,2673.00,8368
1738593592,2644.27,2673.00,8368
1738593656,2644.34,2660.00,8396
1738593683,2644.34,2660.00,8396
1738593779,2644.37,2663.45,8412
1738593825,2644.37,2663.45,8412
1738593863,2644.37,2654.55,8414
1738593956,2644.37,2654.55,8414
1738594009,2644.37,2654.55,8414
1738594079,2644.37,2654.55,8414
1738594138,2644.53,2664.95,8476
1738594198,2644.54,2654.65,8481
1738594228,2644.55,2664.95,8488
1738594278,2644.55,2664.95,8488
1738594354,2644.55,2664.95,8488
1738594435,2644.57,2665.00,8493
1738594463,2644.57,2665.00,8493
1738594559,2644.57,2665.00,8493
1738594616,2644.60,2655.05,8506
1738594677,2644.60,2655.05,8506
1738594688,2644.60,2655.05,8506
1738594790,2644.60,2655.05,8506
1738594843,2644.60,2664.85,8509
1738594901,2644.60,2664.85,8509
1738594967,2644.60,2664.85,8509
1738595031,2644.60,2664.85,8509
1738595159,2644.60,2664.85,8509
1738595209,2644.62,2662.05,8517
1738595369,2644.62,2662.05,8517
1738595548,2644.62,2662.05,8517
1738595638,2644.62,2662.05,8517
1738595693,2644.62,2662.05,8517
1738595744,2644.63,2660.05,8522
1738595787,2644.69,2660.15,8557
1738595866,2644.73,2665.00,8573
1738595937,2644.74,2665.00,8576
1738595975,2644.74,2664.95,8577
1738596043,2644.74,2664.95,8577
1738596167,2645.23,2669.00,8755
1738596193,2645.23,2669.00,8755
1738596297,2645.67,2669.00,8919
1738596348,2645.93,2664.00,9021
1738596419,2645.94,2666.95,9023
1738596476,2646.14,2669.95,9104
1738596536,2646.16,2674.95,9110
1738596559,2646.28,2670.00,9151
1738596619,2646.28,2670.00,9151
1738596677,2646.28,2670.00,9151
1738597014,2646.28,2670.00,9151
1738597066,2646.28,2670.00,9151
1738597253,2646.28,2670.00,9151
1738597339,2646.28,2670.00,9151
1738598401,2646.28,2670.00,9151
1738598489,2646.28,2670.00,9151
1738573646,2645.35,2645.35,1
1738573740,2645.35,2645.35,1
1738574147,2614.39,2602.00,7
1738574210,2603.84,2602.00,47
1738574276,2603.78,2601.00,48
1738574327,2603.78,2601.00,48
1738574395,2622.68,2630.00,148
1738574436,2622.68,2630.00,148
1738574519,2622.68,2630.00,148
1738574566,2622.68,2630.00,148
1738574626,2622.68,2630.00,148
1738574695,2622.72,2629.70,149
1738574748,2624.38,2607.05,200
1738574819,2627.17,2630.00,400
1738574878,2628.30,2633.50,557
1738574939,2629.54,2633.50,732
1738574998,2629.59,2633.50,741
1738575056,2629.88,2640.00,781
1738575117,2629.89,2625.20,784
1738575173,2630.79,2640.00,861
1738575212,2630.79,2640.00,861
1738575277,2630.82,2639.90,863
1738575354,2633.63,2631.10,1093
1738575400,2633.63,2631.10,1093
1738575445,2633.62,2631.30,1097
1738575534,2633.62,2631.30,1098
1738575598,2633.61,2631.30,1100
1738575636,2633.61,2631.30,1101
1738575709,2633.61,2631.30,1101
1738575761,2633.65,2647.00,1104
1738575835,2633.68,2645.95,1107
1738575898,2635.77,2640.00,1314
1738575959,2636.26,2660.00,1372
1738576001,2636.26,2660.00,1372
1738576077,2636.39,2647.00,1383
1738576135,2636.54,2659.95,1392
1738576192,2637.27,2647.00,1492
1738576226,2637.60,2650.00,1520
1738576261,2637.60,2650.00,1520
1738576378,2637.60,2650.00,1520
1738576416,2638.33,2650.00,1615
1738576491,2638.35,2657.80,1617
1738576557,2638.35,2657.80,1617
1738576619,2638.40,2647.60,1626
1738576677,2638.52,2654.75,1640
1738576726,2638.75,2648.00,1681
1738576778,2638.76,2648.00,1682
1738576912,2638.85,2654.75,1692
1738576954,2638.91,2648.00,1702
1738577016,2638.97,2648.00,1714
1738577138,2638.98,2648.00,1715
1738577207,2638.98,2648.00,1716
1738577266,2639.00,2648.00,1720
1738577331,2639.11,2648.00,1740
1738577370,2639.14,2648.00,1746
1738577438,2639.14,2648.00,1747
1738577570,2640.22,2651.00,1922
1738577587,2640.23,2651.00,1923
1738577695,2640.47,2650.00,1971
1738577706,2640.47,2650.00,1971
1738577804,2640.53,2646.00,1990
1738577862,2640.53,2646.00,1990
1738577912,2640.53,2646.00,1990
1738577978,2640.53,2646.00,1990
1738578024,2640.53,2646.00,1990
1738578110,2640.53,2646.00,1990
1738578141,2640.54,2647.00,1993
1738578206,2640.54,2651.00,1994
1738578288,2640.54,2651.00,1994
1738578348,2640.54,2651.00,1994
1738578419,2640.93,2640.00,2197
1738578447,2640.93,2640.00,2204
1738578499,2640.93,2640.00,2204
1738578546,2640.92,2640.00,2224
1738578659,2640.92,2640.00,2224
1738578700,2640.92,2640.00,2224
1738578781,2640.92,2640.00,2224
1738578882,2640.92,2640.20,2229
1738579003,2641.00,2649.80,2252
1738579056,2641.00,2641.55,2255
1738579113,2641.00,2641.55,2255
1738579158,2641.00,2641.55,2255
1738579250,2641.02,2649.80,2261
1738579317,2641.18,2651.00,2300
1738579379,2641.53,2643.00,2409
1738579437,2641.29,2635.00,2613
1738579495,2641.29,2635.00,2613
1738579559,2641.30,2643.95,2618
1738579600,2641.30,2643.75,2619
1738579675,2641.29,2635.10,2624
1738579716,2641.29,2635.10,2624
1738579784,2641.29,2635.10,2624
1738579846,2641.29,2635.10,2624
1738579919,2639.72,2630.10,3177
1738579979,2638.51,2624.95,3555
1738580039,2633.43,2624.95,4523
1738580098,2633.43,2619.95,4524
1738580159,2633.42,2619.95,4526
1738580215,2633.39,2629.95,4537
1738580279,2633.38,2635.00,4615
1738580339,2633.38,2635.00,4615
1738580399,2633.37,2627.85,4639
1738580443,2633.37,2627.85,4639
1738580490,2633.37,2627.85,4639
1738580556,2633.37,2627.85,4639
1738580623,2633.37,2627.85,4639
1738580683,2633.36,2628.00,4653
1738580753,2633.37,2639.95,4663
1738580867,2633.37,2639.95,4663
1738580914,2633.38,2639.85,4667
1738580957,2633.38,2639.85,4672
1738581095,2633.38,2639.85,4672
1738581175,2633.38,2639.85,4672
1738581237,2633.38,2639.85,4672
1738581359,2633.37,2628.00,4683
1738581377,2633.37,2628.00,4683
1738581459,2633.37,2628.00,4683
1738581512,2633.37,2628.00,4683
1738581778,2633.37,2628.00,4683
1738581874,2633.37,2628.00,4683
1738581936,2633.37,2628.00,4683
1738581991,2633.37,2632.85,4692
1738582299,2633.37,2632.85,4696
1738582439,2633.36,2633.00,4796
1738582470,2633.36,2633.00,4796
1738582544,2633.36,2633.00,4796
1738582612,2633.36,2643.85,4797
1738582672,2633.36,2643.85,4797
1738582681,2633.36,2643.85,4797
1738582776,2633.36,2625.10,4798
1738582849,2633.36,2625.10,4798
1738582900,2633.36,2625.10,4798
1738582949,2633.36,2625.10,4798
1738582999,2633.36,2625.10,4798
1738583140,2633.36,2628.05,4800
1738583188,2633.36,2628.05,4800
1738583275,2633.35,2630.00,4808
1738583333,2633.35,2632.95,4816
1738583392,2633.35,2632.95,4816
1738583451,2633.35,2632.95,4816
1738583552,2633.35,2632.95,4816
1738583683,2633.35,2632.95,4816
1738583757,2633.35,2632.95,4816
1738583776,2633.33,2628.10,4831
1738583857,2633.33,2628.10,4832
1738583976,2633.15,2625.00,4942
1738584177,2633.15,2625.00,4942
1738584231,2633.15,2625.00,4942
1738584294,2633.15,2625.00,4942
1738584320,2633.15,2625.00,4942
1738584433,2633.10,2630.00,5022
1738584620,2633.10,2630.00,5022
1738584719,2633.10,2630.00,5022
1738584834,2633.06,2632.00,5093
1738584871,2633.16,2638.00,5198
1738584951,2633.19,2642.50,5213
1738585016,2634.45,2652.00,5643
1738585055,2634.45,2652.00,5643
1738585127,2634.45,2652.00,5643
1738585232,2634.45,2652.00,5643
1738585438,2634.45,2643.20,5644
1738585476,2634.45,2643.20,5644
1738585609,2634.45,2643.20,5644
1738585679,2634.45,2643.20,5644
1738585732,2636.00,2660.00,6082
1738585797,2636.25,2650.05,6139
1738585843,2636.25,2650.05,6139
1738585913,2636.26,2650.25,6140
1738585936,2636.26,2650.25,6140
1738586029,2636.77,2650.30,6251
1738586078,2636.77,2650.30,6251
1738586153,2636.77,2650.35,6252
1738586172,2636.77,2650.35,6252
1738586256,2636.77,2650.35,6252
1738586281,2636.77,2650.35,6252
1738586347,2636.77,2650.35,6252
1738586449,2636.77,2650.35,6252
1738586518,2636.86,2650.40,6278
1738586569,2636.86,2650.40,6278
1738586639,2636.93,2651.05,6306
1738586697,2636.98,2651.35,6320
1738586757,2636.98,2651.35,6320
1738586805,2636.98,2651.35,6321
1738586821,2636.98,2651.35,6321
1738586937,2636.98,2651.45,6323
1738586987,2637.11,2662.00,6357
1738587058,2637.19,2666.00,6376
1738587112,2637.19,2666.00,6377
1738587178,2637.30,2666.00,6401
1738587227,2637.30,2666.00,6401
1738587272,2637.30,2666.00,6401
1738587351,2637.30,2666.00,6401
1738587398,2637.30,2662.05,6402
1738587479,2637.84,2663.00,6544
1738587521,2637.91,2665.75,6560
1738587575,2637.91,2665.75,6560
1738587624,2637.91,2665.75,6560
1738587715,2637.93,2662.05,6565
1738587777,2638.37,2665.00,6688
1738587818,2639.11,2670.00,6853
1738587872,2639.51,2670.00,6943
1738587912,2639.51,2670.00,6943
1738588075,2640.10,2670.00,7083
1738588123,2640.10,2670.00,7083
1738588234,2640.12,2666.00,7088
1738588284,2640.12,2666.00,7088
1738588376,2640.12,2668.85,7089
1738588426,2640.12,2668.85,7089
1738588493,2640.19,2665.00,7109
1738588531,2640.19,2665.00,7109
1738588584,2640.19,2665.00,7109
1738588655,2640.19,2665.00,7109
1738588737,2640.30,2668.00,7136
1738588775,2640.42,2669.00,7168
1738588838,2640.42,2669.00,7168
1738588867,2640.42,2669.00,7168
1738588946,2640.46,2667.00,7178
1738589015,2640.67,2667.00,7237
1738589076,2640.67,2667.00,7237
1738589151,2640.85,2667.05,7284
1738589217,2640.97,2669.00,7318
1738589238,2640.97,2669.00,7318
1738589320,2640.97,2669.00,7318
1738589388,2640.97,2669.00,7318
1738589440,2641.01,2665.05,7328
1738589514,2641.02,2668.95,7332
1738589639,2641.02,2668.95,7332
1738589647,2641.02,2668.95,7332
1738589749,2641.04,2668.95,7337
1738589801,2641.04,2668.95,7337
1738589862,2641.04,2667.95,7338
1738589990,2641.26,2663.00,7413
1738590214,2641.26,2663.00,7413
1738590299,2641.26,2663.00,7413
1738590354,2641.28,2663.00,7418
1738590400,2641.33,2667.95,7434
1738590533,2641.33,2667.95,7434
1738590561,2641.33,2667.95,7434
1738590620,2641.33,2667.95,7434
1738590679,2641.33,2667.95,7434
1738590855,2641.34,2666.95,7437
1738590953,2641.34,2666.95,7437
1738591007,2641.34,2666.95,7437
1738591062,2641.36,2663.05,7442
1738591198,2641.39,2664.90,7454
1738591216,2641.53,2663.00,7504
1738591262,2641.55,2663.00,7511
1738591366,2641.59,2664.90,7521
1738591436,2641.61,2663.00,7531
1738591457,2641.61,2663.00,7531
1738591617,2641.63,2664.95,7536
1738591738,2641.90,2662.00,7636
1738591780,2641.95,2662.00,7656
1738591858,2642.31,2661.00,7797
1738591906,2642.33,2655.00,7806
1738591952,2642.33,2655.00,7806
1738592013,2643.64,2675.05,8183
1738592094,2643.64,2675.05,8184
1738592153,2643.66,2679.00,8188
1738592215,2643.68,2677.90,8193
1738592263,2643.79,2675.00,8221
1738592294,2643.79,2675.00,8221
1738592372,2643.79,2675.00,8221
1738592456,2643.93,2675.00,8259
1738592475,2643.97,2675.00,8269
1738592577,2644.00,2675.00,8279
1738592680,2644.02,2678.45,8283
1738592704,2644.02,2678.45,8283
1738592799,2644.02,2678.45,8283
1738592874,2644.06,2678.10,8293
1738592919,2644.06,2678.10,8293
1738592987,2644.11,2675.00,8305
1738593050,2644.11,2675.00,8307
1738593060,2644.12,2675.00,8309
1738593172,2644.12,2675.00,8309
1738593236,2644.12,2675.00,8309
1738593299,2644.13,2673.95,8311
1738593354,2644.15,2652.70,8323
1738593419,2644.21,2669.85,8348
1738593479,2644.21,2669.85,8348
1738593538,2644.27,2673.00,8368
1738593592,2644.27,2673.00,8368
1738593656,2644.34,2660.00,8396
1738593683,2644.34,2660.00,8396
1738593779,2644.37,2663.45,8412
1738593825,2644.37,2663.45,8412
1738593863,2644.37,2654.55,8414
1738593956,2644.37,2654.55,8414
1738594009,2644.37,2654.55,8414
1738594079,2644.37,2654.55,8414
1738594138,2644.53,2664.95,8476
1738594198,2644.54,2654.65,8481
1738594228,2644.55,2664.95,8488
1738594278,2644.55,2664.95,8488
1738594354,2644.55,2664.95,8488
1738594435,2644.57,2665.00,8493
1738594463,2644.57,2665.00,8493
1738594559,2644.57,2665.00,8493
1738594616,2644.60,2655.05,8506
1738594677,2644.60,2655.05,8506
1738594688,2644.60,2655.05,8506
1738594790,2644.60,2655.05,8506
1738594843,2644.60,2664.85,8509
1738594901,2644.60,2664.85,8509
1738594967,2644.60,2664.85,8509
1738595031,2644.60,2664.85,8509
1738595159,2644.60,2664.85,8509
1738595209,2644.62,2662.05,8517
1738595369,2644.62,2662.05,8517
1738595548,2644.62,2662.05,8517
1738595638,2644.62,2662.05,8517
1738595693,2644.62,2662.05,8517
1738595744,2644.63,2660.05,8522
1738595787,2644.69,2660.15,8557
1738595866,2644.73,2665.00,8573
1738595937,2644.74,2665.00,8576
